"","appid","name","release_date","english","developer","publisher","platforms","required_age","categories","genres","steamspy_tags","achievements","positive_ratings","negative_ratings","average_playtime","median_playtime","owners","price"
"1517",222140,"Puddle","2012/11/9",1,"Neko Entertainment","Neko Entertainment","windows;mac;linux",0,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards","Action;Indie;Simulation","Indie;Simulation;Physics",23,322,119,186,247,"100000-200000",5.59
"1521",222480,"Resident Evil Revelations / Biohazard Revelations","2013/5/23",1,"Capcom","Capcom","windows",16,"Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Valve Anti-Cheat enabled","Action;Adventure","Action;Horror;Zombies",50,4962,975,683,764,"500000-1000000",23.99
"1524",222640,"Aarklash: Legacy","2013/9/12",1,"Cyanide Studio","Bigben Interactive","windows",0,"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud","Adventure;Strategy","RPG;Strategy;Tactical",29,478,145,144,286,"50000-100000",12.39
"1525",222730,"Reus","2013/5/16",1,"Abbey Games","Abbey Games","windows;mac;linux",0,"Single-player;Steam Achievements;Steam Trading Cards","Indie;Simulation;Strategy","God Game;Strategy;Indie",123,3569,917,1293,195,"500000-1000000",6.99
"1526",222750,"Wargame: Airland Battle","2013/5/29",1,"Eugen Systems","Eugen Systems","windows;mac;linux",0,"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Trading Cards;Steam Cloud","Strategy","Strategy;RTS;Military",0,3279,415,1069,1254,"500000-1000000",14.99
"1527",222880,"Insurgency","2014/1/22",1,"New World Interactive","New World Interactive","windows;mac;linux",0,"Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Includes level editor","Action;Indie;Strategy","FPS;Realistic;Tactical",100,92355,9570,712,245,"2000000-5000000",6.99
"1529",222980,"Dead Pixels","2012/12/7",1,"CSR-Studios","CSR-Studios","windows",0,"Single-player;Shared/Split Screen;Steam Achievements;Full controller support","Action;Indie;RPG","Zombies;Action;Indie",30,2005,309,117,85,"200000-500000",1.99
"1531",223100,"Homefront?: The Revolution","2016/5/19",1,"Dambuster Studios","Deep Silver","windows",18,"Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Stats","Violent;Action;Adventure","Action;FPS;Open World",74,6396,5102,408,484,"500000-1000000",24.99
"1532",223220,"Giana Sisters: Twisted Dreams","2012/10/22",1,"Black Forest Games","HandyGames;Black Forest Games","windows",0,"Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards","Action;Indie","Platformer;Indie;Action",25,1229,326,177,217,"500000-1000000",10.99
"1538",223470,"POSTAL 2","2012/11/2",1,"Running With Scissors","Running With Scissors","windows;mac;linux",18,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor","Action;Adventure;Indie","Dark Humor;Violent;Action",89,36263,1872,257,172,"1000000-2000000",6.99
"1541",223710,"Cry of Fear","2013/4/25",1,"Team Psykskallar","Team Psykskallar","windows",0,"Single-player;Co-op;Steam Cloud;Valve Anti-Cheat enabled","Action;Adventure;Indie","Horror;Free to Play;Co-op",0,20990,3497,3830,74,"2000000-5000000",0
"1542",223730,"Fly'N","2012/11/9",1,"Ankama Games","Ankama Games","windows",0,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats;Steam Leaderboards","Action;Adventure;Indie","Platformer;Indie;2D",19,378,60,76,99,"100000-200000",7.49
