appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
622380,RETNE,2017/8/2,1,VRNI Ltd;Kainos,VRNI Ltd;Kainos,windows,0,Single-player,Adventure;Casual;Free to Play;RPG,Free to Play;Adventure;Casual,0,25,6,0,0,20000-50000,0
622420,Stay Alive: Apocalypse,2018/1/15,1,Mehan Games,Mehan Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Indie;RPG;Simulation;Early Access,Early Access;RPG;Simulation,38,95,23,0,0,0-20000,11.39
622440,Pandemic: The Board Game,2018/8/24,1,Asmodee Digital,Asmodee Digital;Z-Man Games,windows;mac,0,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements,Simulation;Strategy,Strategy;Board Game;Simulation,24,38,49,1,1,0-20000,7.19
622460,Steampunk Tower 2,2018/4/19,1,DreamGate,DreamGate,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Action;Indie;Strategy,Action;Strategy;Tower Defense,30,142,32,0,0,20000-50000,6.99
622470,Road Dogs,2017/9/26,1,Teletower Studios,Teletower Studios,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer,Action;Adventure;Free to Play;Indie;Massively Multiplayer;Racing;RPG;Strategy;Early Access,Early Access;Free to Play;Massively Multiplayer,0,60,59,0,0,20000-50000,0
622480,Gus Track Adventures VR,2017/6/27,1,maxlvlgames,maxlvlgames,windows,0,Single-player;Steam Achievements;Steam Leaderboards,Action;Adventure;Indie,Adventure;Indie;Action,11,9,1,0,0,0-20000,4.79
622510,Lootfest Wars,2018/2/28,1,vikingfabian.com,vikingfabian.com,windows,0,Single-player;Online Multi-Player;Steam Achievements;Stats;Includes level editor,Casual;Indie;Strategy,Strategy;Indie;Casual,11,1,0,0,0,0-20000,1.69
622530,Stoire,2017/6/2,1,Greendev.,Droid Riot,windows,0,Single-player;Steam Trading Cards,Indie;Early Access,Early Access;Indie;Horror,0,9,11,242,242,20000-50000,0.79
622540,The Frost,2017/5/16,1,Tephra Company,Tephra,windows,16,Single-player,Violent;Gore;Adventure;Indie;Early Access,Early Access;Indie;Gore,0,8,14,0,0,0-20000,5.99
622550,Final Cut: Encore Collector's Edition,2017/4/14,1,Eipix Entertainment,Big Fish Games,windows,0,Single-player,Adventure;Casual,Adventure;Casual;Hidden Object,0,1,0,0,0,0-20000,7.19
622610,Cult: Fear Inside,2017/9/28,1,Sombrero Way Studio,Sombrero Way Studio,windows,16,Single-player,Nudity;Violent;Gore;Action;Indie;Early Access,Early Access;Action;Gore,0,8,4,0,0,0-20000,1.69
622620,Nightmare Adventures: The Turning Thorn,2017/4/17,1,Ghost Ship Studios,Big Fish Games,windows,0,Single-player,Adventure;Casual,Adventure;Casual,0,3,0,0,0,0-20000,5.19
622650,Bendy and the Ink Machine?,2017/4/27,1,Joey Drew Studios Inc.,Joey Drew Studios Inc.,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support,Action;Indie,Horror;First-Person;Singleplayer,60,9901,1398,38,43,500000-1000000,15.49
622670,Huusuienbu - Chapter Spring and Summer,2017/8/26,1,REAL Co.Ltd,REAL Co.Ltd,windows,0,Single-player;Steam Trading Cards,Adventure;Indie;RPG;Strategy;Early Access,Early Access;Strategy;Adventure,0,27,9,0,0,0-20000,10.99
622700,War Heroes: Invasion,2018/5/15,1,Hammerson Games,Hammerson Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Indie;Strategy,Strategy;Indie;Action,64,10,8,0,0,0-20000,6.19
622720,Weedcraft Inc,2019/4/11,1,Vile Monarch,Devolver Digital,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie;Simulation;Strategy,Indie;Simulation;Strategy,30,234,77,135,135,20000-50000,15.49
622770,Hacktag,2018/2/14,1,Piece of Cake studios,Piece of Cake studios,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie,Indie;Action;Hacking,42,163,59,0,0,0-20000,15.49
622810,Invasion,2018/6/15,1,brutalsoft,brutalsoft,windows,0,Single-player;Steam Achievements;Steam Cloud,Action;Indie,Action;Indie;Arcade,19,24,1,0,0,0-20000,3.99
622820,HALUNAZI,2018/3/1,1,HALUNAZI GAMES,HALUNAZI GAMES,windows,0,Single-player;Steam Trading Cards;Captions available;Partial Controller Support,Action;Casual;Indie,Action;Indie;Casual,0,8,7,287,294,20000-50000,0.79
622830,Battle Chess,2017/4/20,1,Interplay Entertainment Corp.,Interplay Entertainment Corp.,windows;mac,0,Single-player,Strategy,Strategy;Chess,0,16,5,0,0,0-20000,6.99
622870,Pixel Shinobi Nine demons of Mamoru,2017/5/10,1,Ametist studio,Ametist studio,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Indie;Early Access,Early Access;Action;Indie,71,118,11,0,0,0-20000,7.99
622880,Sweven,2017/4/22,1,CG-Interactive,CG-Interactive,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats,Violent;Adventure;Indie,Violent;Indie;Adventure,6,22,9,0,0,0-20000,1.59
622890,Omnom Necropolis,2017/5/18,1,postpunkpl;atabiszewski,postpunkpl;atabiszewski,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Action;Casual;Indie,Action;Indie;Casual,20,20,1,0,0,0-20000,1.99
622910,The trial of witch,2018/1/6,0,Yurif,Yurif,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie;RPG,Indie;Adventure;RPG,36,22,3,0,0,0-20000,2.89
622920,P-Walker's Simulation,2017/5/24,1,BrainStrainStudios,BrainStrainStudios,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Nudity;Violent;Action;Adventure;Indie;Racing;Simulation;Early Access,Early Access;Action;Adventure,4,32,34,249,249,20000-50000,1.99
622930,Magic Masks,2018/4/30,1,Magic Masks Team,Magic Masks Team,windows;mac,0,Single-player;Steam Achievements,Adventure;Casual;Indie,Adventure;Indie;Casual,20,5,0,0,0,0-20000,2.09
623040,Crystal Vibes feat. Ott.,2018/7/16,1,Benjamin Outram,Benjamin Outram,windows,0,Single-player;Partial Controller Support,Indie,Indie;VR;Psychedelic,0,6,1,0,0,0-20000,0.79
623050,CyberClub-2077,2017/9/27,1,Dalian Magical Storm Network Technology Co. Ltd.,Dalian Magical Storm Network Technology Co. Ltd.,windows,0,Single-player,Casual;Simulation;Sports,Casual;Simulation;Sports,0,8,4,0,0,0-20000,6.99
623070,Delicious - Emily's Miracle of Life,2017/8/2,1,GameHouse,GameHouse,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual;Indie,Adventure;Indie;Casual,16,39,17,0,0,0-20000,9.99
623080,planetarian HD,2017/5/8,0,VisualArts/Key,VisualArts,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual;Simulation,Visual Novel;Anime;Casual,21,927,10,0,0,0-20000,6.99
